pmid,disease_name,pathway_name,disease_id,pathway_id,category,reference_title,reference_journal,matched_recon3d_pathway,match_method,match_score
18852343,Friedreich ataxia,Porphyrin metabolism,H00067,hsa00860,Neurodegenerative disease,Friedreich ataxia.,Arch Neurol 65:1296-303 (2008),Heme degradation,kegg_id_crossref,1.0
17596984,Friedreich ataxia,Porphyrin metabolism,H00067,hsa00860,Neurodegenerative disease,Advancements in the pathophysiology of Friedreich's Ataxia and new prospects for treatments.,Mol Genet Metab 92:23-35 (2007),Heme degradation,kegg_id_crossref,1.0
16942541,Friedreich ataxia,Porphyrin metabolism,H00067,hsa00860,Neurodegenerative disease,Central nervous system manifestations of mitochondrial disorders.,Acta Neurol Scand 114:217-38 (2006),Heme degradation,kegg_id_crossref,1.0
16805775,Friedreich ataxia,Porphyrin metabolism,H00067,hsa00860,Neurodegenerative disease,The role of mitochondria in inherited neurodegenerative diseases.,J Neurochem 97:1659-75 (2006),Heme degradation,kegg_id_crossref,1.0
15896810,Friedreich ataxia,Porphyrin metabolism,H00067,hsa00860,Neurodegenerative disease,"Oxidative stress, mitochondrial dysfunction and cellular stress response in Friedreich's ataxia.",J Neurol Sci 233:145-62 (2005),Heme degradation,kegg_id_crossref,1.0
19001017,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Inherited mitochondrial optic neuropathies.,J Med Genet 46:145-58 (2009),Oxidative phosphorylation,name_exact,1.0
16829155,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Leber's hereditary optic neuropathy: a multifactorial disease.,Prog Retin Eye Res 25:381-96 (2006),Oxidative phosphorylation,name_exact,1.0
16942541,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Central nervous system manifestations of mitochondrial disorders.,Acta Neurol Scand 114:217-38 (2006),Oxidative phosphorylation,name_exact,1.0
15513454,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Treatment of Leber's hereditary optic neuropathy: theory to practice.,Semin Ophthalmol 17:33-8 (2002),Oxidative phosphorylation,name_exact,1.0
12464728,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,From genotype to phenotype in Leber hereditary optic neuropathy: still more questions than answers.,J Neuroophthalmol 22:257-61 (2002),Oxidative phosphorylation,name_exact,1.0
8755941,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Primary pathogenic mtDNA mutations in multigeneration pedigrees with Leber hereditary optic neuropathy.,Am J Hum Genet 59:481-5 (1996),Oxidative phosphorylation,name_exact,1.0
8240102,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Heteroplasmy in Leber's hereditary optic neuropathy.,Arch Ophthalmol 111:1486-90 (1993),Oxidative phosphorylation,name_exact,1.0
7760326,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Leber's hereditary optic neuropathy: the clinical relevance of different mitochondrial DNA mutations.,J Med Genet 32:81-7 (1995),Oxidative phosphorylation,name_exact,1.0
3201231,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Mitochondrial DNA mutation associated with Leber's hereditary optic neuropathy.,Science 242:1427-30 (1988),Oxidative phosphorylation,name_exact,1.0
1634041,Leber hereditary optic atrophy,Oxidative phosphorylation,H00068,hsa00190,Nervous system disease,Leber's hereditary optic neuropathy: a model for mitochondrial neurodegenerative diseases.,FASEB J 6:2791-9 (1992),Oxidative phosphorylation,name_exact,1.0
17552001,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Glycogen storage diseases: new perspectives.,World J Gastroenterol 13:2541-53 (2007),Starch and sucrose metabolism,kegg_id_crossref,0.875
17027861,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,"Glycogen storage disease: clinical, biochemical, and molecular heterogeneity.",Semin Pediatr Neurol 13:115-20 (2006),Starch and sucrose metabolism,kegg_id_crossref,0.875
11949931,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Type I glycogen storage diseases: disorders of the glucose-6-phosphatase complex.,Curr Mol Med 2:121-43 (2002),Starch and sucrose metabolism,kegg_id_crossref,0.875
11949932,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,"Acid alpha-glucosidase deficiency (glycogenosis type II, Pompe disease).",Curr Mol Med 2:145-66 (2002),Starch and sucrose metabolism,kegg_id_crossref,0.875
11949933,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Molecular characterization of glycogen storage disease type III.,Curr Mol Med 2:167-75 (2002),Starch and sucrose metabolism,kegg_id_crossref,0.875
11949934,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,"The variable presentations of glycogen storage disease type IV: a review of clinical, enzymatic and molecular studies.",Curr Mol Med 2:177-88 (2002),Starch and sucrose metabolism,kegg_id_crossref,0.875
11949935,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Myophosphorylase deficiency (glycogenosis type V; McArdle disease).,Curr Mol Med 2:189-96 (2002),Starch and sucrose metabolism,kegg_id_crossref,0.875
8655128,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Genetic deficiencies of the glycogen phosphorylase system.,Hum Genet 97:551-6 (1996),Starch and sucrose metabolism,kegg_id_crossref,0.875
11949937,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Fanconi-Bickel syndrome--a congenital defect of facilitative glucose transport.,Curr Mol Med 2:213-27 (2002),Starch and sucrose metabolism,kegg_id_crossref,0.875
16337419,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Hepatic glycogen synthase deficiency: an infrequently recognized cause of ketotic hypoglycemia.,Mol Genet Metab 87:284-8 (2006),Starch and sucrose metabolism,kegg_id_crossref,0.875
8447317,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,The molecular genetic basis of muscle phosphoglycerate mutase (PGAM) deficiency.,Am J Hum Genet 52:472-7 (1993),Starch and sucrose metabolism,kegg_id_crossref,0.875
2334430,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Molecular characterization of genetic mutation in human lactate dehydrogenase-A (M) deficiency.,Biochem Biophys Res Commun 168:677-82 (1990),Starch and sucrose metabolism,kegg_id_crossref,0.875
8598869,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Brief report: inherited metabolic myopathy and hemolysis due to a mutation in aldolase A.,N Engl J Med 334:1100-4 (1996),Starch and sucrose metabolism,kegg_id_crossref,0.875
11506403,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,"Beta-enolase deficiency, a new metabolic myopathy of distal glycolysis.",Ann Neurol 50:202-7 (2001),Starch and sucrose metabolism,kegg_id_crossref,0.875
19625727,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Muscle glycogenosis due to phosphoglucomutase 1 deficiency.,N Engl J Med 361:425-7 (2009),Starch and sucrose metabolism,kegg_id_crossref,0.875
20357282,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,Glycogenin-1 deficiency and inactivated priming of glycogen synthesis.,N Engl J Med 362:1203-10 (2010),Starch and sucrose metabolism,kegg_id_crossref,0.875
15877279,Glycogen storage disease,Starch and sucrose metabolism,H00069,hsa00500(N00713+N00718+N00720),Inherited metabolic disorder,"Fatal congenital heart glycogenosis caused by a recurrent activating R531Q mutation in the gamma 2-subunit of AMP-activated protein kinase (PRKAG2), not by phosphorylase kinase deficiency.",Am J Hum Genet 76:1034-49 (2005),Starch and sucrose metabolism,kegg_id_crossref,0.875
17552001,Glycogen storage disease,Glycolysis / Gluconeogenesis,H00069,hsa00010(N00731),Inherited metabolic disorder,Glycogen storage diseases: new perspectives.,World J Gastroenterol 13:2541-53 (2007),Glycolysis/gluconeogenesis,kegg_id_crossref,0.731
17027861,Glycogen storage disease,Glycolysis / Gluconeogenesis,H00069,hsa00010(N00731),Inherited metabolic disorder,"Glycogen storage disease: clinical, biochemical, and molecular heterogeneity.",Semin Pediatr Neurol 13:115-20 (2006),Glycolysis/gluconeogenesis,kegg_id_crossref,0.731
11949931,Glycogen storage disease,Glycolysis / Gluconeogenesis,H00069,hsa00010(N00731),Inherited metabolic disorder,Type I glycogen storage diseases: disorders of the glucose-6-phosphatase complex.,Curr Mol Med 2:121-43 (2002),Glycolysis/gluconeogenesis,kegg_id_crossref,0.731
11949932,Glycogen storage disease,Glycolysis / Gluconeogenesis,H00069,hsa00010(N00731),Inherited metabolic disorder,"Acid alpha-glucosidase deficiency (glycogenosis type II, Pompe disease).",Curr Mol Med 2:145-66 (2002),Glycolysis/gluconeogenesis,kegg_id_crossref,0.731
11949933,Glycogen storage disease,Glycolysis / Gluconeogenesis,H00069,hsa00010(N00731),Inherited metabolic disorder,Molecular characterization of glycogen storage disease type III.,Curr Mol Med 2:167-75 (2002),Glycolysis/gluconeogenesis,kegg_id_crossref,0.731
11949934,Glycogen storage disease,Glycolysis / Gluconeogenesis,H00069,hsa00010(N00731),Inherited metabolic disorder,"The variable presentations of glycogen storage disease type IV: a review of clinical, enzymatic and molecular studies.",Curr Mol Med 2:177-88 (2002),Glycolysis/gluconeogenesis,kegg_id_crossref,0.731
